,Unnamed: 0,hhid,intmonth,stfips,weight,earnwke,uhours,grade92,race,ethnic,age,sex,marital,ownchild,chldpres,prcitshp,state,ind02,occ2012,class,unionmme,unioncov,lfsr94,female,w,lnw
16936,36288,291974906058169,February,KY,2337.9517,769.23,37,44,1,,40,2,1,2,6,"Native, Born In US",61,"Colleges and universities, including junior colleges (6112, 6113)",2200,Government - State,No,No,Employed-At Work,1,20.79,3.0344721018699214
16956,36337,490913063528924,February,KY,2405.1472,1346.0,72,44,1,,43,1,6,0,0,"Native, Born In US",61,"Other health care services (6215, 6219)",3400,"Private, For Profit",No,No,Employed-At Work,0,18.694444444444443,2.928226391188618
16967,36363,612765094909891,February,KY,2554.6328,2884.61,40,45,1,,37,1,1,0,0,"Native, Born In US",61,Hospitals (622),3060,"Private, Nonprofit",No,No,Employed-At Work,0,72.11525,4.27826553371462
16975,36395,820109915684196,February,KY,1818.572,731.25,40,44,1,,60,2,1,0,0,"Native, Born In US",61,"Executive offices and legislative bodies (92111, 92112, 92114, pt. 92115)",500,Government - Local,No,No,Employed-At Work,1,18.28125,2.90587594443213
16980,36419,948297619100956,February,KY,1818.572,830.76,40,44,1,,61,2,1,0,0,"Native, Born In US",61,Religious organizations (8131),2750,"Private, Nonprofit",No,No,Employed-At Work,1,20.769,3.033461490363998
16992,36450,22942014909492,February,LA,3601.5515,2115.38,45,45,1,,29,1,7,0,0,"Native, Born In US",72,Legal services (5411),2100,"Private, For Profit",No,No,Employed-At Work,0,47.00844444444445,3.8503272546022442
17009,36494,420209940534796,February,LA,3198.3647,1663.0,40,44,2,,56,2,1,0,0,"Native, Born In US",72,"Civic, social, advocacy organizations, and grantmaking and giving services (8132, 8133, 8134)",420,"Private, Nonprofit",No,No,Employed-At Work,1,41.575,3.7274990250789912
17015,36511,808904122994052,February,LA,3693.8874,646.0,40,45,2,,40,1,7,0,0,"Native, Born In US",72,Wired telecommunications carriers (*5171),5140,"Private, For Profit",No,No,Employed-At Work,0,16.15,2.7819200496686656
17017,36517,820209985954599,February,LA,3727.3005,1442.3,40,44,1,,64,1,1,0,0,"Native, Born In US",72,Computer systems design and related services (5415),1010,"Private, For Profit",No,No,Employed-At Work,0,36.0575,3.585114886475528
17025,36529,910022829289950,February,LA,2695.2933,2307.69,40,44,1,,40,2,5,2,3,"Native, Born In US",72,Warehousing and storage (493),800,"Private, For Profit",No,No,Employed-At Work,1,57.69225,4.0551228490683195
17029,36533,998042895249550,February,LA,4126.6836,1000.0,40,44,2,,43,2,1,2,3,"Native, Born In US",72,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,1,25.0,3.2188758248682006
17045,36565,293944705015249,February,LA,3861.6431,2019.23,60,44,1,,52,1,1,3,10,"Native, Born In US",72,** Construction (23),1360,"Private, For Profit",No,No,Employed-At Work,0,33.65383333333333,3.516126967383679
17052,36577,420206984510296,February,LA,2732.9397,738.46,40,44,1,,38,2,1,3,3,"Native, Born In US",72,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,1,18.4615,2.9156874825449512
17064,36605,810827096428369,February,LA,2514.0168,738.0,40,44,1,,40,2,1,1,1,"Native, Born In US",72,Elementary and secondary schools (6111),2000,Government - Local,No,No,Employed-At Work,1,18.45,2.915064370486536
17105,36690,820209961491199,February,LA,3637.3631,673.0,45,44,1,,56,2,1,0,0,"Native, Born In US",72,"Other schools, instruction, and educational services (6116, 6117)",3258,Government - State,No,No,Employed-At Work,1,14.955555555555556,2.7050828398744082
17110,36709,21652830699042,February,ME,584.9407,900.0,50,44,1,,53,1,1,1,4,"Native, Born In US",ME,Elementary and secondary schools (6111),2320,Government - Local,Yes,,Employed-At Work,0,18.0,2.8903717578961645
17121,36732,75882430788398,February,ME,647.5406,1142.85,40,44,1,,35,2,1,0,0,"Native, Born In US",ME,Elementary and secondary schools (6111),2000,Government - Local,Yes,,Employed-At Work,1,28.57125,3.352400967473192
17123,36734,81472830684241,February,ME,522.4347,500.0,40,44,1,,31,1,1,0,0,"Native, Born In US",ME,Natural gas distribution (Pt.s2212),4840,"Private, For Profit",No,No,Employed-At Work,0,12.5,2.5257286443082556
17127,36748,232532088907476,February,ME,570.9739,1000.0,40,44,1,,49,1,1,0,0,"Native, Born In US",ME,Hospitals (622),3110,Government - Federal,No,No,Employed-At Work,0,25.0,3.2188758248682006
17138,36775,298928106045399,February,ME,515.5755,500.0,24,44,1,,53,2,1,0,0,"Native, Born In US",ME,Hospitals (622),3255,"Private, Nonprofit",No,No,Employed-At Work,1,20.833333333333332,3.036554268074246
17140,36779,310530453340182,February,ME,592.2273,450.0,35,44,1,,62,1,1,0,0,"Native, Born In US",ME,"Animal food, grain and oilseed milling (3111, 3112)",430,"Private, For Profit",No,No,Employed-At Work,0,12.857142857142858,2.553899521274952
17163,36831,420309914524795,February,ME,528.6706,190.0,28,45,1,,35,1,7,0,0,"Native, Born In US",ME,"Drinking places, alcoholic beverages (7224)",4040,"Private, For Profit",No,No,Employed-At Work,0,6.785714285714286,1.9148195619852821
17181,36874,652043930284440,February,ME,609.9037,480.76,40,44,1,,63,2,1,0,0,"Native, Born In US",ME,Warehousing and storage (493),5120,"Private, For Profit",No,No,Employed-At Work,1,12.019,2.4864887309706516
17184,36877,663063905244390,February,ME,584.9407,1596.15,55,44,1,,52,1,1,1,4,"Native, Born In US",ME,"Administration of environmental quality and housing programs (924, 925)",20,Government - State,No,No,Employed-At Work,0,29.020909090909093,3.3680165733233793
17195,36910,903014680306201,February,ME,610.4991,961.53,40,44,1,,42,2,4,3,10,"Native, Born In US",ME,Elementary and secondary schools (6111),2320,Government - Local,Yes,,Employed-At Work,1,24.038249999999998,3.179646311676199
17202,36933,14492430988096,February,ME,590.8605,1538.46,40,44,1,,30,2,1,2,5,"Native, Born In US",ME,Outpatient care centers (6214),350,"Private, Nonprofit",No,No,Employed-At Work,1,38.4615,3.649657740960155
17213,36951,57912430788196,February,ME,549.1817,923.07,50,46,3,,46,1,7,0,0,"Native, Born In US",ME,"Colleges and universities, including junior colleges (6112, 6113)",2200,Government - State,Yes,,Employed-At Work,0,18.4614,2.9156820658523297
17234,36993,153380640421202,February,ME,519.1969,769.23,40,44,1,,45,2,1,1,3,"Native, Born In US",ME,Home health care services (6216),3255,"Private, For Profit",No,No,Employed-At Work,1,19.23075,2.9565105604002095
17246,37018,310100701300042,February,ME,508.6718,1307.69,40,44,1,,63,1,1,0,0,"Native, Born In US",ME,"Jewelry, luggage, and leather goods stores (4483)",120,"Private, For Profit",No,No,Employed-At Work,0,32.69225,3.4871380467554407
17249,37022,310520952590182,February,ME,507.0563,1336.53,45,44,1,,47,2,1,2,10,"Native, Born In US",ME,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,29.700666666666667,3.391169492245844
17271,37056,389610904480942,February,ME,592.2273,2076.92,60,44,1,,61,1,1,1,4,"Native, Born In US",ME,Elementary and secondary schools (6111),230,Government - Local,No,No,Employed-At Work,0,34.61533333333333,3.54429674382025
17284,37085,420309952955992,February,ME,572.3032,1615.38,50,44,1,,58,1,1,0,0,"Native, Born In US",ME,Elementary and secondary schools (6111),230,Government - State,Yes,,Employed-At Work,0,32.3076,3.4753024966689385
17285,37088,460831098228859,February,ME,570.9739,1961.53,55,44,1,,47,1,5,0,0,"Native, Born In US",ME,Elementary and secondary schools (6111),230,"Private, Nonprofit",No,No,Employed-At Work,0,35.66418181818182,3.5741468747177154
17289,37094,504908462792813,February,ME,552.6171,1250.0,32,44,1,,57,2,1,0,0,"Native, Born In US",ME,Hospitals (622),350,"Private, Nonprofit",No,No,Employed-At Work,1,39.0625,3.6651629274966204
17296,37107,613399880059209,February,ME,461.8983,942.3,38,44,1,,61,2,5,0,0,"Native, Born In US",ME,Individual and family services (6241),2010,"Private, Nonprofit",No,No,Employed-At Work,1,24.79736842105263,3.2107375354863246
17299,37120,683271099300914,February,ME,572.3032,2403.84,40,46,1,,57,1,1,1,4,"Native, Born In US",ME,Pharmacies and drug stores (44611),3050,"Private, For Profit",No,No,Employed-At Work,0,60.096000000000004,4.095943283585798
17300,37121,683271099300914,February,ME,494.6352,769.23,40,44,1,,50,2,1,1,4,"Native, Born In US",ME,Real estate (531),4920,"Private, For Profit",No,No,Employed-At Work,1,19.23075,2.9565105604002095
17309,37135,803869140449209,February,ME,586.0059,2000.0,50,45,1,,58,1,1,0,0,"Native, Born In US",ME,"Securities, commodities, funds, trusts, and other financial investments (523, 525)",850,"Private, For Profit",No,No,Employed-At Work,0,40.0,3.6888794541139363
17310,37136,803869140449209,February,ME,552.6171,850.0,36,44,1,,58,2,1,0,0,"Native, Born In US",ME,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,23.61111111111111,3.161717411028252
17320,37169,958063882289140,February,ME,506.4784,2307.0,40,44,1,,50,2,1,0,0,"Native, Born In US",ME,"Other health care services (6215, 6219)",350,"Private, For Profit",No,No,Employed-At Work,1,57.675,4.054823804059818
17321,37170,18392440984292,February,MD,1555.9995,865.38,40,44,1,,36,2,7,0,0,"Native, Born In US",52,"Museums, art galleries, historical sites, and similar institutions (712)",2430,"Private, For Profit",No,No,Employed-At Work,1,21.6345,3.0742892627095375
17323,37177,50849092328329,February,MD,1419.8009,458.33,70,46,1,,34,2,7,0,0,"Native, Born In US",52,"Colleges and universities, including junior colleges (6112, 6113)",2550,"Private, Nonprofit",No,No,Employed-At Work,1,6.547571428571429,1.8790942066294838
17324,37178,60644094224579,February,MD,2040.6993,900.0,40,44,2,,61,2,5,2,8,"Native, Born In US",52,Elementary and secondary schools (6111),2320,Government - Local,No,Yes,Employed-At Work,1,22.5,3.1135153092103742
17327,37185,296958802024439,February,MD,1419.8009,1240.38,40,44,1,,30,2,1,0,0,"Native, Born In US",52,Hospitals (622),50,"Private, Nonprofit",No,No,Employed-At Work,1,31.009500000000003,3.434293609151345
17336,37201,489210923840942,February,MD,1785.005,2115.38,40,44,1,,56,1,7,0,0,"Native, Born In US",52,"Accounting, tax preparation, bookkeeping, and payroll services (5412)",430,"Private, For Profit",No,No,Employed-At Work,0,52.8845,3.9681102902586276
17339,37208,604869140449209,February,MD,1700.2106,769.23,40,44,1,,27,2,7,0,0,"Native, Born In US",52,"Colleges and universities, including junior colleges (6112, 6113)",2000,"Private, For Profit",No,No,Employed-At Work,1,19.23075,2.9565105604002095
17342,37221,808708352798874,February,MD,1785.005,1407.69,50,44,1,,56,1,1,0,0,"Foreign Born, Not a US Citizen",52,National security and international affairs (928),430,Government - Federal,No,No,Employed-At Work,0,28.1538,3.3376823365942236
17347,37234,824429140389209,February,MD,2283.3643,346.15,40,44,4,,34,1,1,1,2,"Foreign Born, Not a US Citizen",52,Religious organizations (8131),2040,"Private, Nonprofit",No,No,Employed-At Work,0,8.653749999999999,2.157992753010098
17354,37257,4703152999984,February,MD,1728.6062,1384.61,60,44,1,,51,1,1,0,0,"Native, Born In US",52,"Banking and related activities (521, 52211,52219)",565,"Private, For Profit",No,No,Employed-At Work,0,23.076833333333333,3.1388292282982135
17357,37263,9054139240810,February,MD,1627.5502,2884.61,40,45,1,,43,1,1,2,3,"Native, Born In US",52,Legal services (5411),2100,"Private, For Profit",No,No,Employed-At Work,0,72.11525,4.27826553371462
17362,37274,52132440983094,February,MD,1402.1857,1923.07,40,44,1,,32,2,7,0,0,"Native, Born In US",52,National security and international affairs (928),430,Government - Federal,No,No,Employed-At Work,1,48.07675,3.872798692268385
17366,37282,70094168240850,February,MD,1566.8559,1711.0,50,44,1,,63,1,1,0,0,"Native, Born In US",52,** Construction (23),10,"Private, For Profit",No,No,Employed-At Work,0,34.22,3.5328102684640474
17371,37295,89782440016500,February,MD,1572.2227,1885.2,40,44,1,,55,2,5,0,0,"Native, Born In US",52,Elementary and secondary schools (6111),1820,Government - Local,Yes,,Employed-At Work,1,47.13,3.8529097409356394
17375,37304,108903022993454,February,MD,1910.3438,1100.0,40,44,1,,29,1,7,0,0,"Native, Born In US",52,Outpatient care centers (6214),3060,"Private, For Profit",No,No,Employed-At Work,0,27.5,3.3141860046725258
17380,37314,142366098909194,February,MD,1728.6062,2066.66,40,44,1,,51,1,1,0,0,"Native, Born Abroad Of US Parent(s)",52,Elementary and secondary schools (6111),2320,Government - Local,Yes,,Employed-At Work,0,51.6665,3.9448096024394825
17387,37337,188054188240730,February,MD,1572.2227,1360.0,40,44,1,,57,2,1,0,0,"Native, Born In US",52,"Architectural, engineering, and related services (5413)",1410,"Private, For Profit",No,No,Employed-At Work,1,34.0,3.5263605246161616
17395,37349,242381038002309,February,MD,1539.3996,1730.76,40,44,4,,28,2,7,0,0,"Foreign Born, US Cit By Naturalization",52,"Administration of economic programs and space research (926, 927)",1410,Government - Federal,No,No,Employed-At Work,1,43.269,3.767436443269483
17398,37352,247296219400772,February,MD,1708.3157,1576.92,37,44,1,,32,1,1,2,1,"Native, Born In US",52,"Colleges and universities, including junior colleges (6112, 6113)",110,"Private, For Profit",No,No,Employed-Absent,0,42.61945945945946,3.7523109437993227
17403,37363,277908306042429,February,MD,1402.1857,1300.0,40,44,1,,32,2,1,2,5,"Native, Born In US",52,Elementary and secondary schools (6111),2330,Government - Local,Yes,,Employed-Absent,1,32.5,3.481240089335692
17416,37390,304708322991394,February,MD,1602.2911,1057.69,40,45,4,,58,2,1,0,0,"Foreign Born, Not a US Citizen",52,Legal services (5411),2145,"Private, For Profit",No,No,Employed-At Work,1,26.44225,3.274963109698682
17433,37423,410220345870182,February,MD,1708.3157,1730.76,40,45,1,,34,1,1,1,1,"Native, Born In US",52,Wired telecommunications carriers (*5171),2100,"Private, For Profit",No,No,Employed-At Work,0,43.269,3.767436443269483
17434,37424,410220345870182,February,MD,1402.1857,1666.66,40,44,1,,33,2,1,1,1,"Native, Born In US",52,Elementary and secondary schools (6111),2320,Government - Local,Yes,,Employed-At Work,1,41.6665,3.7296974486261916
17435,37428,410380644580082,February,MD,1423.2274,2403.84,40,46,1,,40,2,1,2,3,"Foreign Born, US Cit By Naturalization",52,Administration of human resource programs (923),430,Government - Federal,No,No,Employed-At Work,1,60.096000000000004,4.095943283585798
17438,37436,420407939832193,February,MD,1762.8589,2884.61,40,46,1,,58,1,1,0,0,"Native, Born In US",52,Hospitals (622),3255,"Private, For Profit",No,No,Employed-At Work,0,72.11525,4.27826553371462
17451,37455,420409927978591,February,MD,1572.2227,1769.23,40,44,1,,58,2,6,0,0,"Native, Born In US",52,Home health care services (6216),3255,"Private, For Profit",No,No,Employed-Absent,1,44.23075,3.7894202485531103
17455,37461,442089068907491,February,MD,1402.1857,770.0,35,44,1,,30,2,1,0,0,"Native, Born In US",52,Legal services (5411),60,"Private, Nonprofit",No,No,Employed-At Work,1,22.0,3.091042453358316
17460,37469,444296409400731,February,MD,1910.3438,1100.0,40,44,1,,29,1,7,0,0,"Native, Born In US",52,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,0,27.5,3.3141860046725258
17462,37471,450148003628840,February,MD,1536.6946,600.0,20,44,1,,39,2,1,3,6,"Native, Born In US",52,Other direct selling establishments (45439),4900,"Private, For Profit",No,No,Employed-At Work,1,30.0,3.4011973816621555
17472,37487,480142012328750,February,MD,1440.9557,2307.69,50,44,1,,50,2,5,1,3,"Native, Born In US",52,Pharmaceutical and medicine manufacturing (3254),50,"Private, For Profit",No,No,Employed-At Work,1,46.153800000000004,3.83197929775411
17479,37495,489340013740782,February,MD,1708.3157,1153.84,40,46,1,,31,1,6,0,0,"Native, Born In US",52,"Colleges and universities, including junior colleges (6112, 6113)",1760,"Private, For Profit",No,No,Employed-At Work,0,28.845999999999997,3.3619713351613183
17487,37507,489650003830942,February,MD,1402.1857,846.15,40,44,1,,30,2,1,1,2,"Native, Born In US",52,"Civic, social, advocacy organizations, and grantmaking and giving services (8132, 8133, 8134)",1220,"Private, Nonprofit",No,No,Employed-At Work,1,21.15375,3.0518171947401584
17494,37520,530843095428439,February,MD,2473.6241,1923.07,40,44,2,,34,2,7,0,0,"Native, Born In US",52,Software publishing (5112),110,"Private, For Profit",No,No,Employed-At Work,1,48.07675,3.872798692268385
17498,37531,542389014909795,February,MD,1434.6273,1346.15,40,44,4,,49,2,1,0,0,"Foreign Born, US Cit By Naturalization",52,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,33.65375,3.516124491189194
17501,37536,542842084909073,February,MD,1781.5744,1307.0,40,46,1,,62,1,1,0,0,"Native, Born In US",52,Insurance carriers and related activities (524),850,"Private, For Profit",No,No,Employed-At Work,0,32.675,3.4866102595102855
17504,37546,590843092728759,February,MD,1781.5744,2650.0,65,44,1,,61,1,1,0,0,"Native, Born In US",52,"Architectural, engineering, and related services (5413)",1360,"Private, For Profit",No,No,Employed-At Work,0,40.76923076923077,3.7079276490846307
17506,37548,608907622797954,February,MD,1477.1403,1261.51,40,44,1,,48,2,1,0,0,"Native, Born In US",52,Child day care services (6244),4600,"Private, For Profit",No,No,Employed-At Work,1,31.53775,3.4511852410067045
17519,37565,648271359400727,February,MD,1717.6385,2884.61,35,44,1,,48,1,1,2,3,"Native, Born In US",52,Offices of physicians (6211),10,"Private, For Profit",No,No,Employed-At Work,0,82.41742857142857,4.411796926339143
17520,37566,648271359400727,February,MD,1434.6273,1634.61,40,46,4,,48,2,1,2,3,"Foreign Born, US Cit By Naturalization",52,"Colleges and universities, including junior colleges (6112, 6113)",2550,"Private, Nonprofit",No,Yes,Employed-At Work,1,40.865249999999996,3.710280068654017
17526,37573,680143017324170,February,MD,1708.3157,1576.92,50,44,1,,34,1,1,1,2,"Native, Born In US",52,"Other amusement, gambling, and recreation industries (713 exc. 71395)",4300,"Private, For Profit",No,No,Employed-Absent,0,31.538400000000003,3.451205851015401
17527,37574,680143017324170,February,MD,1402.1857,1442.3,40,44,1,,34,2,1,1,2,"Native, Born In US",52,"Administration of economic programs and space research (926, 927)",3030,Government - Federal,No,No,Employed-Absent,1,36.0575,3.585114886475528
17532,37586,704902622797214,February,MD,1910.3438,1645.28,55,44,1,,29,1,7,0,0,"Native, Born In US",52,Insurance carriers and related activities (524),1105,"Private, Nonprofit",No,No,Employed-At Work,0,29.914181818181817,3.3983326762484096
17533,37587,704902622797214,February,MD,1402.1857,1461.53,55,44,1,,31,2,5,0,0,"Native, Born In US",52,Insurance carriers and related activities (524),4710,"Private, For Profit",No,No,Employed-At Work,1,26.573272727272727,3.2799059259641266
17536,37592,733074840289410,February,MD,1536.6946,1153.84,40,46,1,,36,2,5,2,8,"Native, Born In US",52,"Colleges and universities, including junior colleges (6112, 6113)",2200,"Private, For Profit",No,No,Employed-At Work,1,28.845999999999997,3.3619713351613183
17555,37636,820407938845694,February,MD,1314.1231,1423.07,40,44,1,,60,2,1,0,0,"Native, Born In US",52,Administration of human resource programs (923),3255,Government - Local,Yes,,Employed-At Work,1,35.57675,3.571692334614245
17557,37638,820407955560595,February,MD,1762.8589,2115.38,50,46,1,,57,1,1,0,0,"Native, Born In US",52,"Other schools, instruction, and educational services (6116, 6117)",230,"Private, For Profit",No,No,Employed-At Work,0,42.3076,3.744966738944418
17558,37639,820407955560595,February,MD,1572.2227,1846.15,50,44,1,,56,2,1,0,0,"Native, Born In US",52,Elementary and secondary schools (6111),230,Government - Local,Yes,,Employed-At Work,1,36.923,3.6088346631048966
17585,37711,960843077824349,February,MD,1536.6946,1192.3,40,44,1,,37,2,1,2,3,"Foreign Born, Not a US Citizen",52,"Colleges and universities, including junior colleges (6112, 6113)",630,Government - State,No,No,Employed-At Work,1,29.807499999999997,3.39476003969815
17592,37734,242114034909891,February,MD,1255.6935,690.0,30,44,1,,41,2,5,2,3,"Native, Born In US",52,"Other schools, instruction, and educational services (6116, 6117)",230,"Private, Nonprofit",No,No,Employed-At Work,1,23.0,3.1354942159291497
17597,37750,447296359400708,February,MD,1685.4694,769.23,40,44,1,,27,1,7,0,0,"Native, Born In US",52,Administration of human resource programs (923),3245,Government - State,No,No,Employed-At Work,0,19.23075,2.9565105604002095
17602,37762,140147015724470,February,MD,1423.2274,1500.0,45,44,1,,44,2,1,0,0,"Native, Born In US",52,Elementary and secondary schools (6111),230,Government - Local,Yes,,Employed-At Work,1,33.333333333333336,3.506557897319982
17634,37838,30352092124109,February,MA,3273.1049,2250.0,40,46,4,,51,1,1,0,0,"Native, Born Abroad Of US Parent(s)",MA,Pharmaceutical and medicine manufacturing (3254),1650,"Private, For Profit",No,No,Employed-At Work,0,56.25,4.029806041084529
17635,37839,30352092124109,February,MA,5023.5857,1153.0,40,44,4,,25,1,7,0,0,"Native, Born Abroad Of US Parent(s)",MA,"Architectural, engineering, and related services (5413)",1410,"Private, For Profit",No,No,Employed-At Work,0,28.825,3.3612430661551227
17636,37842,52132850937290,February,MA,2998.7678,2884.61,60,46,1,,53,2,1,1,4,"Native, Born In US",MA,"Colleges and universities, including junior colleges (6112, 6113)",2200,"Private, Nonprofit",No,No,Employed-At Work,1,48.07683333333333,3.8728004256064557
17637,37843,52132850937290,February,MA,2974.2319,2884.61,40,46,1,,62,1,1,1,4,"Native, Born In US",MA,"Colleges and universities, including junior colleges (6112, 6113)",2200,"Private, Nonprofit",No,No,Employed-At Work,0,72.11525,4.27826553371462
17643,37859,296988706082519,February,MA,3041.59,1923.07,40,44,4,,51,2,1,1,3,"Foreign Born, US Cit By Naturalization",MA,"Colleges and universities, including junior colleges (6112, 6113)",430,"Private, Nonprofit",No,No,Employed-At Work,1,48.07675,3.872798692268385
17644,37860,296988706082519,February,MA,2867.4947,192.3,40,44,1,,47,1,1,1,3,"Foreign Born, Not a US Citizen",MA,Pharmaceutical and medicine manufacturing (3254),120,"Private, For Profit",No,No,Employed-At Work,0,4.8075,1.5701771984807977
17647,37864,342290679500942,February,MA,3074.0715,2884.61,50,45,1,,48,2,5,2,10,"Native, Born In US",MA,"Colleges and universities, including junior colleges (6112, 6113)",3060,"Private, Nonprofit",No,No,Employed-At Work,1,57.6922,4.0551219824004106
17651,37873,420509937206492,February,MA,3665.9254,2884.61,40,44,1,,41,2,1,3,6,"Native, Born In US",MA,Hospitals (622),350,"Private, Nonprofit",No,No,Employed-At Work,1,72.11525,4.27826553371462
17673,37904,820509919163572,February,MA,4681.5621,807.69,60,45,1,,28,1,7,0,0,"Foreign Born, Not a US Citizen",MA,Hospitals (622),3060,"Private, Nonprofit",No,No,Employed-At Work,0,13.461500000000001,2.5998337593150387
17679,37923,23012450011002,February,MA,3472.8755,1000.0,40,44,4,,35,2,1,2,5,"Foreign Born, Not a US Citizen",MA,Sugar and confectionery products (3113),7700,"Private, For Profit",No,No,Employed-At Work,1,25.0,3.2188758248682006
17680,37924,23012450011002,February,MA,3518.9358,1750.0,40,46,4,,42,1,1,2,5,"Foreign Born, Not a US Citizen",MA,Medical equipment and supplies manufacturing (3391),430,"Private, For Profit",No,No,Employed-At Work,0,43.75,3.7784916128036232
17693,37947,72472450010102,February,MA,3329.996,1346.15,40,44,1,,42,2,1,2,3,"Native, Born In US",MA,Elementary and secondary schools (6111),2010,Government - Local,Yes,,Employed-At Work,1,33.65375,3.516124491189194
17697,37951,105120240030201,February,MA,4452.2575,1750.0,40,44,4,,38,1,1,2,8,"Foreign Born, US Cit By Naturalization",MA,Insurance carriers and related activities (524),110,"Private, For Profit",No,No,Employed-At Work,0,43.75,3.7784916128036232
17703,37973,285294829500737,February,MA,3748.0694,1115.38,40,44,1,,36,2,1,3,11,"Native, Born In US",MA,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,27.884500000000003,3.328070978893597
17704,37974,285294829500737,February,MA,4011.5408,1128.84,40,45,1,,35,1,1,3,11,"Native, Born In US",MA,Insurance carriers and related activities (524),4710,"Private, For Profit",No,No,Employed-At Work,0,28.220999999999997,3.340066381657924
17709,37987,292908203010514,February,MA,2621.362,2884.61,60,45,1,,52,1,1,2,4,"Native, Born In US",MA,Legal services (5411),2100,"Private, For Profit",No,No,Employed-At Work,0,48.07683333333333,3.8728004256064557
17723,38007,440654092024359,February,MA,2792.377,1346.15,40,44,1,,46,2,1,3,10,"Native, Born In US",MA,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,33.65375,3.516124491189194
17727,38011,444297769500999,February,MA,2621.362,1442.3,40,44,1,,53,1,1,0,0,"Native, Born In US",MA,Elementary and secondary schools (6111),2320,"Private, For Profit",No,No,Employed-At Work,0,36.0575,3.585114886475528
17742,38043,569240045430942,February,MA,2972.1201,865.38,40,44,1,,56,2,1,0,0,"Native, Born In US",MA,Libraries and archives (*51912),2430,Government - Local,Yes,,Employed-At Work,1,21.6345,3.0742892627095375
17748,38051,589020689810942,February,MA,2701.6862,1407.0,60,44,1,,62,1,1,0,0,"Native, Born In US",MA,"Management, scientific, and technical consulting services (5416)",710,"Private, For Profit",No,No,Employed-At Work,0,23.45,3.1548704948922883
17754,38066,645149340359208,February,MA,3329.996,673.07,40,44,1,,43,2,1,2,10,"Native, Born In US",MA,Elementary and secondary schools (6111),2310,"Private, For Profit",No,No,Employed-At Work,1,16.82675,2.8229698820090032
17755,38067,645149340359208,February,MA,3623.0452,2884.61,50,44,1,,43,1,1,2,10,"Native, Born In US",MA,Advertising and related services (5418),10,"Private, For Profit",No,No,Employed-At Work,0,57.6922,4.0551219824004106
17760,38076,655899480139208,February,MA,2792.377,1153.0,40,45,1,,46,2,1,2,4,"Foreign Born, US Cit By Naturalization",MA,"Other health care services (6215, 6219)",3060,"Private, For Profit",No,No,Employed-At Work,1,28.825,3.3612430661551227
17766,38087,820509922103140,February,MA,2376.0742,2884.61,45,45,1,,63,1,1,0,0,"Native, Born In US",MA,Legal services (5411),2100,"Private, For Profit",No,No,Employed-At Work,0,64.10244444444444,4.1604824980582364
17788,38147,952045630249440,February,MA,2673.3048,2500.0,40,44,1,,59,1,1,1,4,"Native, Born In US",MA,"Management, scientific, and technical consulting services (5416)",710,"Private, For Profit",No,No,Employed-At Work,0,62.5,4.135166556742356
17800,38178,249298629500714,February,MA,2604.73,2884.61,45,44,1,,49,1,1,4,10,"Native, Born In US",MA,Software publishing (5112),430,"Private, For Profit",No,No,Employed-At Work,0,64.10244444444444,4.1604824980582364
17805,38188,295918603028579,February,MA,4252.5641,961.53,50,44,1,,28,1,7,0,0,"Native, Born In US",MA,Automotive equipment rental and leasing (5321),4710,"Private, For Profit",No,No,Employed-At Work,0,19.2306,2.9565027603619893
17835,38271,270567097924749,February,MI,3093.2256,846.0,40,45,4,,41,1,1,2,8,"Foreign Born, Not a US Citizen",MI,Hospitals (622),3060,"Private, Nonprofit",No,No,Employed-At Work,0,21.15,3.0516399054922867
17836,38272,270567097924749,February,MI,3428.1591,769.23,40,45,4,,37,2,1,2,8,"Foreign Born, Not a US Citizen",MI,Hospitals (622),3060,"Private, Nonprofit",No,No,Employed-At Work,1,19.23075,2.9565105604002095
17842,38287,298988804092604,February,MI,3738.1017,2115.0,80,45,1,,27,1,7,0,0,"Foreign Born, Not a US Citizen",MI,Hospitals (622),3060,"Private, For Profit",No,No,Employed-At Work,0,26.4375,3.274783456806497
17848,38305,462809088904298,February,MI,3687.683,1442.3,40,44,4,,32,2,1,0,0,"Foreign Born, Not a US Citizen",MI,Insurance carriers and related activities (524),540,"Private, Nonprofit",No,No,Employed-At Work,1,36.0575,3.585114886475528
17849,38306,462809088904298,February,MI,4412.583,1442.3,40,44,4,,31,1,1,0,0,"Foreign Born, Not a US Citizen",MI,Insurance carriers and related activities (524),540,"Private, Nonprofit",No,No,Employed-At Work,0,36.0575,3.585114886475528
17855,38323,669900092930942,February,MI,4200.8947,961.53,40,44,2,,31,2,1,0,0,"Native, Born In US",MI,Administration of human resource programs (923),3910,Government - State,Yes,,Employed-At Work,1,24.038249999999998,3.179646311676199
